data,repo,pr,issue,verifiche,banco,esito
2026-08-21,REPO-A,#369,#363,non-dichiarate,proposto
2026-08-21,REPO-A,#369,#363,non-dichiarate,proposto
2026-08-21,REPO-A,#369,#363,verifiche-ok,proposto
2026-08-21,REPO-A,#369,#363,verifiche-ok,vuoto
2026-08-21,REPO-A,#369,#363,verifiche-ok,eseguito:sopravvissuta
2026-08-21,REPO-A,#369,#363,verifiche-ok,scartato-allowlist,
2026-08-21,REPO-A,#364,#362,verifiche-ok,proposto,merge
2026-08-21,REPO-A,#369,#363,verifiche-ok,eseguito:sopravvissuta,
2026-08-21,REPO-B,#14,#11,fusa-prima-del-gate,—,merge
